"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SEMA4D",3.62910477246771e-10,0.571065068110342,0.852,0.66,1.32828863777091e-05
"AK5",4.1145917629434e-10,0.650496620191727,0.277,0.033,1.50598173115491e-05
"RABEP2",4.36810494605142e-10,-0.407797973468203,0.15,0.373,1.59877009130428e-05
"MTSS1",5.72752710886721e-10,-0.618512122563496,0.559,0.807,2.09633219711649e-05
"C12orf42",9.11686634828079e-10,-0.474346530776493,0.091,0.273,3.33686425213425e-05
"MGAT5",9.68663333789664e-10,-0.691237382952039,0.609,0.76,3.54540466800355e-05
"PTPRK",9.79040678969469e-10,-0.623995142173539,0.145,0.353,3.58338678909615e-05
"SCML4",1.11790549323811e-09,0.608358939732485,0.577,0.307,4.09164589580082e-05
"PAG1",1.21116799379393e-09,0.631601485520482,0.79,0.613,4.43299597408517e-05
"IGHA1",1.30582638108393e-09,-0.497952749600022,0.085,0.26,4.77945513740528e-05
"RASGRP1",1.33956868397685e-09,0.584341411014166,0.484,0.2,4.90295534022368e-05
"UST",1.40489912190908e-09,-0.580077117328211,0.235,0.473,5.14207127609943e-05
"RRAS2",1.42200888843413e-09,-0.54854336263179,0.163,0.373,5.20469473255777e-05
"JAZF1",1.4255689573375e-09,-0.530816125382518,0.726,0.873,5.21772494075097e-05
"ATP10A",1.69813979007333e-09,0.63929204672806,0.546,0.267,6.21536144564741e-05
"BCAS4",2.06308258272172e-09,-0.440260973079965,0.124,0.327,7.55108856101978e-05
"FOXN3",2.19154220928343e-09,0.413768024989367,0.979,0.933,8.02126364019829e-05
"MBNL1",2.60079252385267e-09,0.323336991569035,0.998,0.98,9.51916071655317e-05
"CD3D",2.87075208318458e-09,0.384138258766228,0.511,0.207,0.000105072396996639
"IL4R",3.16022782136632e-09,-0.807861332286087,0.366,0.56,0.000115667498489829
"CD226",3.38635041604018e-09,0.579651113896248,0.272,0.047,0.000123943811577487
"RPS11",3.89497171895284e-09,-0.576741872704277,0.938,0.98,0.000142559859885393
"HLA-DMA",6.44453676234498e-09,-0.555293578408752,0.303,0.54,0.000235876490038589
"FYB1",6.56368555298253e-09,0.398496072870675,0.977,0.967,0.000240237454924714
"KLRK1",7.02597457964865e-09,0.564833449917146,0.269,0.047,0.00025715769558972
"TRIO",7.94922227951593e-09,-0.637158767421423,0.624,0.76,0.000290949484652563
"MAML2",8.16896771325729e-09,0.601587656082665,0.94,0.887,0.00029899238727293
"SORL1",8.33459521508328e-09,0.418724992227726,0.831,0.627,0.000305054519467263
"CIITA",1.01400294883361e-08,-0.645988042400467,0.477,0.667,0.000371135219302589
"NOSIP",1.01626450116053e-08,0.573543316114529,0.459,0.22,0.000371962970069765
"NCALD",1.13294159227319e-08,0.709361403194435,0.355,0.12,0.00041466795218791
"CD3E",1.18902529422678e-08,0.427223477162833,0.402,0.133,0.000435195147939942
"GPRIN3",1.19988597947263e-08,0.537013896016908,0.432,0.173,0.000439170267346776
"TMEM156",1.20022829723843e-08,-0.488183522148058,0.176,0.38,0.000439295559072237
"RASA3",1.38521686158094e-08,0.521382372436229,0.744,0.533,0.000507003223507239
"DOCK10",1.51482117951885e-08,0.497263823580597,0.956,0.88,0.000554439699915695
"QRSL1",1.65715205221754e-08,-0.432282936889038,0.13,0.32,0.000606534222632142
"PRDM2",1.91916657191185e-08,-0.526168501854182,0.728,0.78,0.000702434156985455
"PIK3IP1",1.95645173796843e-08,0.481077043125851,0.559,0.287,0.000716080900613826
"HIP1R",2.01370666749736e-08,-0.376983193851507,0.103,0.273,0.000737036777370709
"ABLIM1",2.15601651917112e-08,0.681887187230152,0.56,0.327,0.00078912360618182
"TRBC1",2.25765238382861e-08,0.601740928403551,0.438,0.18,0.00082632334900511
"SNX2",2.30794500308489e-08,-0.566692189740882,0.577,0.733,0.000844730950579101
"IL32",2.35787659260983e-08,0.358055922843374,0.7,0.4,0.000863006411661124
